ProbeLabel,PredictedLabel,Rank1Match,Rank5Match,IndexPredicted,Image
0,0,True,True,0,data/fulldataset/2019data/36/036_4.jpg 0
1,1,True,True,0,data/fulldataset/2019data/54/054_2.jpg 1
2,2,True,True,0,data/fulldataset/2019data/18/018_4.jpg 2
3,36,False,True,2,data/fulldataset/2019data/79/079_2.jpg 3
4,4,True,True,0,data/fulldataset/2019data/52/052_1.jpg 4
5,5,True,True,0,data/fulldataset/2019data/7/007_5.jpg 5
6,6,True,True,0,data/fulldataset/2019data/28/028_2.jpg 6
7,7,True,True,0,data/fulldataset/2019data/8/008_2.jpg 7
8,8,True,True,0,data/fulldataset/2019data/23/023_1.jpg 8
9,9,True,True,0,data/fulldataset/2019data/31/031_3.jpg 9
10,10,True,True,0,data/fulldataset/2019data/38/038_4.jpg 10
11,67,False,True,1,data/fulldataset/2019data/40/040_7.jpg 11
12,12,True,True,0,data/fulldataset/2019data/39/039_4.jpg 12
13,13,True,True,0,data/fulldataset/2019data/26/026_1.jpg 13
14,14,True,True,0,data/fulldataset/2019data/56/056_8.jpg 14
15,15,True,True,0,data/fulldataset/2019data/69/069_5.jpg 15
16,16,True,True,0,data/fulldataset/2019data/9/009_1.jpg 16
17,17,True,True,0,data/fulldataset/2019data/37/037_3.jpg 17
18,18,True,True,0,data/fulldataset/2019data/70/070_4.jpg 18
19,19,True,True,0,data/fulldataset/2019data/4/004_1.jpg 19
20,5,False,True,2,data/fulldataset/2019data/3/003_2.jpg 20
21,21,True,True,0,data/fulldataset/2019data/61/061_5.jpg 21
22,22,True,True,0,data/fulldataset/2019data/51/051_4.jpg 22
23,23,True,True,0,data/fulldataset/2019data/55/055_1.jpg 23
24,24,True,True,0,data/fulldataset/2019data/63/063_2.jpg 24
25,25,True,True,0,data/fulldataset/2019data/43/043_1.jpg 25
26,26,True,True,0,data/fulldataset/2019data/27/027_4.jpg 26
27,27,True,True,0,data/fulldataset/2019data/66/066_4.jpg 27
28,28,True,True,0,data/fulldataset/2019data/80/080_5.jpg 28
29,29,True,True,0,data/fulldataset/2019data/24/024_1.jpg 29
30,30,True,True,0,data/fulldataset/2019data/81/081_6.jpg 30
31,31,True,True,0,data/fulldataset/2019data/48/048_11.jpg 31
32,26,False,False,21,data/fulldataset/2019data/35/035_1.jpg 32
33,33,True,True,0,data/fulldataset/2019data/33/033_4.jpg 33
34,34,True,True,0,data/fulldataset/2019data/67/067_4.jpg 34
35,35,True,True,0,data/fulldataset/2019data/73/073_1.jpg 35
36,36,True,True,0,data/fulldataset/2019data/78/078_6.jpg 36
37,12,False,True,1,data/fulldataset/2019data/32/032_5.jpg 37
38,38,True,True,0,data/fulldataset/2019data/76/076_2.jpg 38
39,39,True,True,0,data/fulldataset/2019data/25/025_1.jpg 39
40,40,True,True,0,data/fulldataset/2019data/60/060_2.jpg 40
41,41,True,True,0,data/fulldataset/2019data/68/068_12.jpg 41
42,42,True,True,0,data/fulldataset/2019data/49/049_6.jpg 42
43,25,False,False,10,data/fulldataset/2019data/22/022_6.jpg 43
44,44,True,True,0,data/fulldataset/2019data/84/084_7.jpg 44
45,3,False,True,2,data/fulldataset/2019data/72/072_6.jpg 45
46,46,True,True,0,data/fulldataset/2019data/44/044_4.jpg 46
47,47,True,True,0,data/fulldataset/2019data/83/083_5.jpg 47
48,48,True,True,0,data/fulldataset/2019data/77/077_2.jpg 48
49,49,True,True,0,data/fulldataset/2019data/64/064_1.jpg 49
50,50,True,True,0,data/fulldataset/2019data/47/047_2.jpg 50
51,51,True,True,0,data/fulldataset/2019data/71/071_3.jpg 51
52,52,True,True,0,data/fulldataset/2019data/19/019_4.jpg 52
53,53,True,True,0,data/fulldataset/2019data/62/062_13.jpg 53
54,30,False,True,2,data/fulldataset/2019data/57/057_2.jpg 54
55,55,True,True,0,data/fulldataset/2019data/65/065_2.jpg 55
56,11,False,True,2,data/fulldataset/2019data/58/058_4.jpg 56
57,57,True,True,0,data/fulldataset/2019data/50/050_9.jpg 57
58,58,True,True,0,data/fulldataset/2019data/30/030_4.jpg 58
59,59,True,True,0,data/fulldataset/2019data/6/006_2.jpg 59
60,60,True,True,0,data/fulldataset/2019data/59/059_2.jpg 60
61,61,True,True,0,data/fulldataset/2019data/17/017_3.jpg 61
62,62,True,True,0,data/fulldataset/2019data/21/021_5.jpg 62
63,63,True,True,0,data/fulldataset/2019data/20/020_3.jpg 63
64,64,True,True,0,data/fulldataset/2019data/53/053_2.jpg 64
65,50,False,False,9,data/fulldataset/2019data/34/034_5.jpg 65
66,66,True,True,0,data/fulldataset/2019data/45/045_6.jpg 66
67,67,True,True,0,data/fulldataset/2019data/41/041_1.jpg 67
