ProbeLabel,PredictedLabel,Rank1Match,Rank5Match,IndexPredicted
1,1,True,True,0
2,2,True,True,0
3,3,True,True,0
4,4,True,True,0
5,5,True,True,0
5,47,False,True,1
6,6,True,True,0
7,7,True,True,0
8,34,False,True,3
9,9,True,True,0
10,10,True,True,0
11,11,True,True,0
11,11,True,True,0
12,12,True,True,0
13,13,True,True,0
14,14,True,True,0
14,14,True,True,0
14,14,True,True,0
15,41,False,False,11
16,3,False,False,15
17,17,True,True,0
18,43,False,True,3
19,19,True,True,0
19,37,False,True,3
20,20,True,True,0
21,21,True,True,0
22,22,True,True,0
23,66,False,True,4
23,20,False,True,1
24,24,True,True,0
25,25,True,True,0
26,26,True,True,0
27,27,True,True,0
28,28,True,True,0
29,29,True,True,0
30,30,True,True,0
30,30,True,True,0
31,31,True,True,0
31,31,True,True,0
31,31,True,True,0
32,32,True,True,0
33,49,False,True,1
34,34,True,True,0
35,35,True,True,0
36,36,True,True,0
37,19,False,True,1
37,37,True,True,0
38,38,True,True,0
39,39,True,True,0
40,40,True,True,0
41,41,True,True,0
41,41,True,True,0
41,41,True,True,0
42,42,True,True,0
42,42,True,True,0
43,43,True,True,0
44,5,False,True,1
44,5,False,True,3
45,45,True,True,0
45,45,True,True,0
46,46,True,True,0
47,60,False,True,4
48,48,True,True,0
49,49,True,True,0
50,50,True,True,0
51,28,False,True,2
51,51,True,True,0
52,52,True,True,0
53,53,True,True,0
53,53,True,True,0
53,53,True,True,0
54,54,True,True,0
55,55,True,True,0
56,56,True,True,0
57,57,True,True,0
57,57,True,True,0
57,57,True,True,0
58,58,True,True,0
59,43,False,False,48
60,60,True,True,0
60,20,False,True,1
61,55,False,False,14
62,62,True,True,0
63,63,True,True,0
64,64,True,True,0
65,34,False,False,16
66,44,False,True,1
66,29,False,False,45
67,67,True,True,0
